"Label (Grouping)","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Total!!Margin of Error","Baldwin County, Alabama!!Car, truck, or van -- drove alone!!Estimate","Baldwin County, Alabama!!Car, truck, or van -- drove alone!!Margin of Error","Baldwin County, Alabama!!Car, truck, or van -- carpooled!!Estimate","Baldwin County, Alabama!!Car, truck, or van -- carpooled!!Margin of Error","Baldwin County, Alabama!!Public transportation (excluding taxicab)!!Estimate","Baldwin County, Alabama!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","97,098","±1,828","80,588","±2,024","7,733","±1,001","30","±35"
"    AGE","","","","","","","",""
"        16 to 19 years","4.1%","±0.5","4.0%","±0.6","7.2%","±2.5","0.0%","±56.2"
"        20 to 24 years","7.6%","±0.5","8.5%","±0.7","5.8%","±2.6","0.0%","±56.2"
"        25 to 44 years","40.9%","±0.8","40.6%","±1.1","56.4%","±5.4","0.0%","±56.2"
"        45 to 54 years","22.2%","±0.8","22.1%","±1.0","16.9%","±3.5","63.3%","±58.6"
"        55 to 59 years","10.8%","±0.8","10.5%","±1.0","8.7%","±2.9","0.0%","±56.2"
"        60 years and over","14.5%","±1.1","14.3%","±1.1","5.1%","±1.6","36.7%","±58.6"
"        Median age (years)","43.7","±0.6","43.4","±0.7","35.6","±3.0","-","**"
"    SEX","","","","","","","",""
"        Male","52.2%","±0.9","51.2%","±1.1","58.9%","±5.8","36.7%","±58.6"
"        Female","47.8%","±0.9","48.8%","±1.1","41.1%","±5.8","63.3%","±58.6"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","98.4%","±0.4","98.2%","±0.5","99.7%","±0.5","100.0%","±56.2"
"            White","87.2%","±0.8","87.0%","±1.0","83.6%","±5.4","100.0%","±56.2"
"            Black or African American","8.2%","±0.6","8.5%","±0.8","8.4%","±3.4","0.0%","±56.2"
"            American Indian and Alaska Native","0.5%","±0.3","0.4%","±0.3","1.4%","±1.3","0.0%","±56.2"
"            Asian","1.0%","±0.3","1.0%","±0.3","2.3%","±1.7","0.0%","±56.2"
"            Native Hawaiian and Other Pacific Islander","0.0%","±0.1","0.0%","±0.1","0.0%","±0.5","0.0%","±56.2"
"            Some other race","1.5%","±0.4","1.3%","±0.4","4.0%","±3.3","0.0%","±56.2"
"        Two or more races","1.6%","±0.4","1.8%","±0.5","0.3%","±0.5","0.0%","±56.2"
"        Hispanic or Latino origin (of any race)","4.2%","±0.4","3.6%","±0.6","12.4%","±3.7","0.0%","±56.2"
"        White alone, not Hispanic or Latino","84.8%","±0.7","85.0%","±1.0","76.9%","±4.8","100.0%","±56.2"
"    NATIVITY AND CITIZENSHIP STATUS","","","","","","","",""
"        Native","95.9%","±0.6","96.0%","±0.7","91.4%","±4.2","100.0%","±56.2"
"        Foreign born","4.1%","±0.6","4.0%","±0.7","8.6%","±4.2","0.0%","±56.2"
"            Naturalized U.S. citizen","2.2%","±0.5","2.4%","±0.6","2.1%","±1.4","0.0%","±56.2"
"            Not a U.S. citizen","1.9%","±0.5","1.6%","±0.5","6.5%","±4.2","0.0%","±56.2"
"    LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH","","","","","","","",""
"        Speak language other than English","4.9%","±0.5","4.5%","±0.7","12.1%","±4.3","0.0%","±56.2"
"            Speak English ""very well""","3.1%","±0.5","3.2%","±0.6","4.4%","±2.2","0.0%","±56.2"
"            Speak English less than ""very well""","1.8%","±0.5","1.2%","±0.4","7.7%","±3.4","0.0%","±56.2"
"EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR WORKERS","","","","","","","",""
"    Workers 16 years and over with earnings","97,098","±1,828","80,588","±2,024","7,733","±1,001","30","±35"
"        $1 to $9,999 or loss","11.1%","±1.1","10.2%","±1.1","15.2%","±4.2","0.0%","±56.2"
"        $10,000 to $14,999","6.7%","±0.9","6.9%","±1.0","6.0%","±1.9","0.0%","±56.2"
"        $15,000 to $24,999","14.4%","±1.2","14.6%","±1.3","20.5%","±5.5","0.0%","±56.2"
"        $25,000 to $34,999","14.6%","±1.1","15.2%","±1.4","14.6%","±5.0","63.3%","±58.6"
"        $35,000 to $49,999","15.7%","±1.0","16.5%","±1.2","14.5%","±3.5","0.0%","±56.2"
