"Label (Grouping)","Baldwin County, Alabama!!Total!!Estimate","Baldwin County, Alabama!!Total!!Margin of Error","Baldwin County, Alabama!!Car, truck, or van -- drove alone!!Estimate","Baldwin County, Alabama!!Car, truck, or van -- drove alone!!Margin of Error","Baldwin County, Alabama!!Car, truck, or van -- carpooled!!Estimate","Baldwin County, Alabama!!Car, truck, or van -- carpooled!!Margin of Error","Baldwin County, Alabama!!Public transportation!!Estimate","Baldwin County, Alabama!!Public transportation!!Margin of Error","Baldwin County, Alabama!!Worked from home!!Estimate","Baldwin County, Alabama!!Worked from home!!Margin of Error"
"Workers 16 years and over","118,306","±4,472","94,466","±5,077","7,039","±1,807","0","±213","14,147","±2,513"
"    AGE","","","","","","","","","",""
"        16 to 19 years","4.1%","±1.1","4.3%","±1.4","10.5%","±8.8","-","**","0.5%","±0.9"
"        20 to 24 years","7.5%","±1.3","8.2%","±1.5","5.9%","±5.1","-","**","2.5%","±2.8"
"        25 to 44 years","39.3%","±2.1","38.9%","±2.6","36.9%","±12.7","-","**","41.6%","±10.4"
"        45 to 54 years","21.3%","±1.6","20.8%","±1.9","26.0%","±10.4","-","**","22.2%","±6.9"
"        55 to 59 years","10.2%","±1.6","9.2%","±1.8","10.4%","±6.7","-","**","16.8%","±6.7"
"        60 years and over","17.7%","±1.8","18.6%","±2.2","10.3%","±8.2","-","**","16.3%","±5.1"
"        Median age (years)","44.5","±1.3","44.2","±1.2","42.7","±5.9","-","**","46.7","±3.4"
"    SEX","","","","","","","","","",""
"        Male","53.5%","±2.1","54.6%","±2.5","59.7%","±12.6","-","**","42.3%","±9.7"
"        Female","46.5%","±2.1","45.4%","±2.5","40.3%","±12.6","-","**","57.7%","±9.7"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","N","N","N","N","N","N","N","N","N","N"
"            White","84.5%","±1.7","84.9%","±2.0","77.0%","±10.3","-","**","87.8%","±7.0"
"            Black or African American","N","N","N","N","N","N","N","N","N","N"
