"Label (Grouping)","Mobile County, Alabama!!Total!!Estimate","Mobile County, Alabama!!Total!!Margin of Error","Mobile County, Alabama!!Car, truck, or van -- drove alone!!Estimate","Mobile County, Alabama!!Car, truck, or van -- drove alone!!Margin of Error","Mobile County, Alabama!!Car, truck, or van -- carpooled!!Estimate","Mobile County, Alabama!!Car, truck, or van -- carpooled!!Margin of Error","Mobile County, Alabama!!Public transportation (excluding taxicab)!!Estimate","Mobile County, Alabama!!Public transportation (excluding taxicab)!!Margin of Error"
"Workers 16 years and over","173,223","±2,019","148,366","±1,984","11,994","±976","896","±281"
"    AGE","","","","","","","",""
"        16 to 19 years","3.0%","±0.4","2.9%","±0.4","5.6%","±1.6","0.0%","±3.8"
"        20 to 24 years","9.3%","±0.4","8.9%","±0.5","15.0%","±2.4","21.2%","±15.6"
"        25 to 44 years","45.2%","±0.7","45.1%","±0.9","46.5%","±4.3","31.9%","±11.6"
"        45 to 54 years","19.8%","±0.5","20.2%","±0.6","15.8%","±2.4","20.8%","±9.3"
"        55 to 59 years","9.4%","±0.5","9.7%","±0.6","6.8%","±1.9","8.8%","±5.7"
"        60 years and over","13.2%","±0.5","13.3%","±0.6","10.3%","±3.1","17.3%","±8.4"
"        Median age (years)","41.4","±0.3","41.7","±0.5","38.1","±1.7","41.4","±15.1"
"    SEX","","","","","","","",""
"        Male","51.5%","±0.7","51.1%","±0.8","52.8%","±3.5","57.1%","±13.1"
"        Female","48.5%","±0.7","48.9%","±0.8","47.2%","±3.5","42.9%","±13.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","98.2%","±0.3","98.2%","±0.3","98.0%","±1.0","99.2%","±1.2"
"            White","61.7%","±0.7","62.6%","±0.8","47.5%","±3.8","27.9%","±15.1"
"            Black or African American","32.4%","±0.7","32.0%","±0.8","41.0%","±3.9","68.2%","±15.1"
"            American Indian and Alaska Native","0.7%","±0.2","0.7%","±0.2","2.0%","±1.2","0.0%","±3.8"
"            Asian","2.3%","±0.2","2.0%","±0.2","5.7%","±2.0","3.1%","±4.0"
"            Native Hawaiian and Other Pacific Islander","0.0%","±0.1","0.0%","±0.1","0.0%","±0.3","0.0%","±3.8"
"            Some other race","1.0%","±0.3","0.9%","±0.2","1.7%","±1.5","0.0%","±3.8"
