FID,FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,x,y
1,499,KnownAlternateName,Exact,180,Mars Hill - West Chilton Fire Station,2678 Co Rd 42,Jemison,35085,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.773478782923,32.968285378885
2,498,ExactMatch,Exact,170,Providence Baptist Chruch #1,190 Co Rd 46,Montevallo,35115,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8010337833807,33.019165328674
3,306,KnownAlternateName,Exact,PRECINCT 34,Roy Downs Memorial Calera Library,9700 Hwy 25,Calera,35040,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7692078885092,33.0970402464048
4,303,ExactMatch,Rooftop,PRECINCT 30,Stewart Student Retreat Center,508 Student Retreat Dr,Montevallo,35115,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8703204277798,33.1105332454639
5,307,ExactMatch,Rooftop,PRECINCT 35,Hope Mountain Church,11215 Hwy 22,Calera,35040,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7563296179209,33.1544594990691
6,296,ExactMatch,Exact,PRECINCT 23,Church of Jesus Christ of Latter Day Saints,210 Lacey Ave,Maylene,35114,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8654509124377,33.223506229568
7,297,ExactMatch,Rooftop,PRECINCT 24,Restore - 1st UMC of Alabaster,128 Market Center Dr,Alabaster,35007,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8219348008995,33.2375550641882
8,299,ExactMatch,Rooftop,PRECINCT 26,Evangel Presbyterian Church,423 Thompson Rd,Alabaster,35007,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8379336454555,33.2382302637247
9,247,ExactMatch,Exact,21, NORTHPORT CITY HALL,3500 MCFARLAND BLVD, NORTHPORT,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5925464680126,33.2400179253041
10,242,ExactMatch,Rooftop,15, MARY PHELPS CENTER,2200 ROCK QUARRY DR, TUSCALOOSA,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.509991946186,33.2647843536761
11,243,DirectionSuffixRemoved,Exact,17, CHAPEL HILL BAPTIST CHURCH, 8790 HIGHWAY 43 NORTH, NORTHPORT,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5990050916591,33.2736747021185
12,238,ExactMatch,Rooftop,9, YELLOW CREEK BAPTIST CHURCH,15515 YELLOW CREEK ROAD,Tuscaloosa,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4726002706679,33.3560853342747
13,237,ExactMatch,Approx,8, STATION 2 CARROLL�S CREEK VFD � 11604 STONEHEDGE ROAD,11604 STONEHEDGE ROAD,Northport,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5746050895465,33.3602062311983
14,239,ExactMatch,Exact,10, KELLERMAN ANTIOCH BAPTIST CHURCH,15755 LOCK 17 ROAD,Brookwood,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3282590405708,33.365087881727
15,236,ExactMatch,Approx,7, COUNTY ROAD CAMP #3, 17504 FINNELL ROAD,Northport,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5952050979272,33.4074062402815
16,115,ExactMatch,Approx, ,PREC 3220 � OAK GROVE FIRST BAPTIST CHURCH,9161 CAMP OLIVER RD,BESSEMER,35023,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2003049900664,33.4659062678201
17,232,DirectionSuffixRemoved,Exact,2, WINDHAM SPRING BAPTIST CHURCH,20105 HWY 69 NORTH,Berry,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.497827835092,33.4892219111741
18,231,ExactMatch,Exact,1, WHITSON PLACE CHURCH OF CHRIST,13231 BRANDON SCHOOL ROAD,Berry,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4126464758121,33.5734648620967
19,1046,ExactMatch,Exact,10,10 - TUTWILER FIRE DEPARTMENT,6320 TUTWILER RD,OAKMAN,35579,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2868333117791,33.5984704322257
