"Label (Grouping)","Mobile County, Alabama!!Estimate","Mobile County, Alabama!!Margin of Error"
"Total:","161,526","±3,231"
"    No vehicle available","9,730","±1,546"
"    1 vehicle available","55,482","±3,310"
"    2 vehicles available","58,559","±3,926"
"    3 vehicles available","25,880","±2,276"
"    4 or more vehicles available","11,875","±2,176"
"    1-person household:","52,177","±3,238"
"        No vehicle available","6,672","±1,438"
"        1 vehicle available","33,283","±2,826"
"        2 vehicles available","9,232","±1,701"
"        3 vehicles available","2,308","±934"
"        4 or more vehicles available","682","±488"
"    2-person household:","55,459","±3,710"
"        No vehicle available","1,743","±791"
"        1 vehicle available","11,858","±1,781"
"        2 vehicles available","29,043","±2,740"
"        3 vehicles available","9,438","±1,380"
"        4 or more vehicles available","3,377","±1,144"
"    3-person household:","23,235","±2,609"
"        No vehicle available","448","±393"
"        1 vehicle available","6,569","±1,540"
"        2 vehicles available","8,988","±1,780"
"        3 vehicles available","5,698","±1,397"
"        4 or more vehicles available","1,532","±631"
"    4-or-more-person household:","30,655","±2,757"
"        No vehicle available","867","±549"
"        1 vehicle available","3,772","±1,105"
"        2 vehicles available","11,296","±1,830"
"        3 vehicles available","8,436","±1,437"
"        4 or more vehicles available","6,284","±1,392"
