"Label (Grouping)","Baldwin County, Alabama!!Estimate","Baldwin County, Alabama!!Margin of Error","Mobile County, Alabama!!Estimate","Mobile County, Alabama!!Margin of Error"
"Total:","84,047","±1,143","157,557","±1,279"
"    No vehicle available","2,627","±397","11,209","±895"
"    1 vehicle available","26,347","±1,437","52,456","±1,464"
"    2 vehicles available","35,944","±1,529","58,367","±1,928"
"    3 vehicles available","13,344","±880","24,272","±1,176"
"    4 or more vehicles available","5,785","±689","11,253","±818"
"    1-person household:","24,412","±1,390","48,167","±1,383"
"        No vehicle available","1,770","±320","7,731","±813"
"        1 vehicle available","17,858","±1,346","30,568","±1,227"
"        2 vehicles available","4,010","±810","7,347","±691"
"        3 vehicles available","677","±243","1,811","±393"
"        4 or more vehicles available","97","±69","710","±216"
"    2-person household:","32,866","±1,167","52,150","±1,485"
"        No vehicle available","492","±198","1,648","±288"
"        1 vehicle available","5,940","±612","12,190","±907"
"        2 vehicles available","19,911","±1,195","27,615","±1,332"
"        3 vehicles available","5,205","±587","8,039","±695"
"        4 or more vehicles available","1,318","±423","2,658","±469"
"    3-person household:","11,321","±912","26,395","±1,291"
"        No vehicle available","214","±96","1,065","±304"
"        1 vehicle available","1,555","±398","5,220","±624"
"        2 vehicles available","4,504","±655","10,491","±905"
"        3 vehicles available","3,561","±472","7,002","±698"
"        4 or more vehicles available","1,487","±347","2,617","±438"
"    4-or-more-person household:","15,448","±910","30,845","±1,257"
"        No vehicle available","151","±85","765","±240"
"        1 vehicle available","994","±276","4,478","±490"
"        2 vehicles available","7,519","±824","12,914","±1,117"
"        3 vehicles available","3,901","±645","7,420","±629"
"        4 or more vehicles available","2,883","±534","5,268","±676"
