ZIPCode,CountyName
35004,Saint Clair
35011,Tallapoosa
35021,Jefferson
35036,Jefferson
35045,Chilton
35054,Saint Clair
35060,Jefferson
35070,Cullman
35078,Shelby
35085,Chilton
35111,Jefferson
35015,Jefferson
35022,Jefferson
35033,Cullman
35042,Bibb
35049,Blount
35055,Cullman
35063,Walker
35080,Shelby
35007,Shelby
35016,Marshall
35056,Cullman
35064,Jefferson
35094,Jefferson
35114,Shelby
35118,Jefferson
35127,Jefferson
35135,Saint Clair
35010,Tallapoosa
35020,Jefferson
35035,Bibb
35044,Talladega
35005,Jefferson
35013,Blount
35031,Blount
35038,Walker
35046,Chilton
35061,Jefferson
35071,Jefferson
35079,Blount
35087,Cullman
35019,Cullman
35023,Jefferson
35034,Bibb
35043,Shelby
35051,Shelby
35073,Jefferson
35096,Talladega
35006,Jefferson
35014,Talladega
35032,Talladega
35040,Shelby
35048,Jefferson
35062,Jefferson
35072,Coosa
35089,Coosa
35112,Saint Clair
35053,Cullman
35058,Cullman
35068,Jefferson
35077,Cullman
35083,Cullman
35098,Cullman
35116,Jefferson
35120,Saint Clair
35130,Walker
35139,Jefferson
35148,Walker
35179,Cullman
35184,Bibb
35204,Jefferson
35210,Jefferson
35242,Shelby
35249,Jefferson
35447,Pickens
35458,Tuscaloosa
35463,Tuscaloosa
35480,Tuscaloosa
35490,Tuscaloosa
35541,Winston
35555,Fayette
35117,Jefferson
35121,Blount
35126,Jefferson
35142,Jefferson
35149,Talladega
35160,Talladega
35173,Jefferson
35185,Shelby
35205,Jefferson
35219,Jefferson
35222,Jefferson
35226,Jefferson
35229,Jefferson
35238,Shelby
35244,Jefferson
35253,Jefferson
35259,Jefferson
35287,Jefferson
35291,Jefferson
35293,Jefferson
35296,Jefferson
35401,Tuscaloosa
35406,Tuscaloosa
35448,Greene
35459,Sumter
35464,Sumter
35473,Tuscaloosa
35481,Pickens
35491,Greene
35542,Fayette
35550,Walker
35559,Fayette
35570,Marion
35575,Winston
35580,Walker
35611,Limestone
35630,Lauderdale
35052,Saint Clair
35057,Cullman
35074,Bibb
35082,Clay
35097,Blount
35125,Saint Clair
35137,Shelby
35183,Coosa
35203,Jefferson
35221,Jefferson
35224,Jefferson
35236,Jefferson
35255,Jefferson
35282,Jefferson
35405,Tuscaloosa
35457,Tuscaloosa
35478,Tuscaloosa
35549,Walker
35565,Winston
35091,Jefferson
35124,Shelby
35133,Blount
35146,Saint Clair
35175,Marshall
35181,Jefferson
35188,Bibb
35207,Jefferson
35212,Jefferson
35215,Jefferson
35217,Jefferson
35220,Jefferson
35232,Jefferson
35246,Jefferson
35254,Jefferson
35260,Jefferson
35283,Jefferson
35292,Jefferson
35294,Jefferson
35402,Tuscaloosa
35441,Hale
35444,Tuscaloosa
35453,Tuscaloosa
35460,Sumter
35470,Sumter
35482,Tuscaloosa
35503,Walker
35545,Fayette
35553,Winston
35563,Marion
35572,Winston
35577,Winston
35584,Walker
35601,Morgan
35614,Limestone
35131,Saint Clair
35143,Shelby
35161,Talladega
35180,Jefferson
35187,Shelby
35206,Jefferson
35214,Jefferson
35231,Jefferson
35266,Jefferson
35440,Tuscaloosa
35443,Greene
35452,Tuscaloosa
35469,Greene
35502,Walker
35544,Lamar
35552,Lamar
35560,Walker
35571,Franklin
35576,Lamar
35582,Franklin
35594,Marion
35613,Limestone
35619,Morgan
35647,Limestone
35673,Morgan
35115,Shelby
35119,Jefferson
35123,Jefferson
35128,Saint Clair
35136,Coosa
35147,Shelby
35151,Talladega
35172,Jefferson
35178,Shelby
35182,Saint Clair
35202,Jefferson
35209,Jefferson
35216,Jefferson
35218,Jefferson
35228,Jefferson
35234,Jefferson
35261,Jefferson
35285,Jefferson
35290,Jefferson
35298,Jefferson
35404,Tuscaloosa
35442,Pickens
35446,Tuscaloosa
35456,Tuscaloosa
35462,Greene
35471,Pickens
35475,Tuscaloosa
35477,Sumter
35487,Tuscaloosa
35540,Winston
35548,Marion
35554,Walker
35564,Marion
35573,Walker
35578,Walker
35586,Lamar
35603,Morgan
35616,Colbert
35622,Morgan
35150,Talladega
35171,Chilton
35176,Shelby
35201,Jefferson
35208,Jefferson
35213,Jefferson
35223,Jefferson
35233,Jefferson
35235,Jefferson
35270,Jefferson
35288,Jefferson
35295,Jefferson
35297,Jefferson
35403,Tuscaloosa
35461,Pickens
35474,Hale
35476,Tuscaloosa
35486,Tuscaloosa
35504,Walker
35546,Fayette
35585,Franklin
35602,Morgan
35615,Limestone
35621,Morgan
35633,Lauderdale
35649,Limestone
35660,Colbert
35677,Lauderdale
35745,Jackson
