"zip","city","population"
36695,"Mobile",52690
36608,"Mobile",38890
36605,"Mobile",25104
36609,"Mobile",23820
36582,"Theodore",23705
36575,"Semmes",23481
36606,"Mobile",18728
36693,"Mobile",18726
36618,"Mobile",17892
36571,"Saraland",17143
36541,"Grand Bay",15590
36619,"Mobile",14697
36613,"Eight Mile",12234
36587,"Wilmer",12013
36617,"Mobile",11128
36544,"Irvington",10521
36610,"Mobile",9877
36604,"Mobile",8836
36603,"Mobile",7760
36522,"Citronelle",7116
36572,"Satsuma",6922
36611,"Mobile",6332
36521,"Chunchula",5536
36607,"Mobile",5393
36612,"Mobile",3274
36523,"Coden",2972
36560,"Mount Vernon",2858
36688,"Mobile",2471
36525,"Creola",1945
36528,"Dauphin Island",1852
36509,"Bayou La Batre",1233
36602,"Mobile",1043
36505,"Axis",762
36568,"Saint Elmo",213
36663,"Mobile",187
36652,"Mobile",53
36512,"Bucks",7
36615,"Mobile",0
