county,year,ZCTA,pct_no_vehicle,pct_1_vehicle,pct_2_vehicles,pct_3plus_vehicles,pct_sum_check,Total,Avg_min_num_cars_owned
Baldwin,2024,36502,2.2,24.1,42.6,31.1,100,"5,495",2.026
Baldwin,2024,36507,1.5,19.5,32.3,46.7,100,"8,885",2.242
Baldwin,2024,36511,0,25.7,64,10.3,100,536,1.846
Baldwin,2024,36526,0.6,14.8,47.4,37.2,100,"18,003",2.212
Baldwin,2024,36527,2.5,6.7,51.5,39.3,100,"9,784",2.276
Baldwin,2024,36530,1.7,10.9,39.8,47.6,100,"3,283",2.333
Baldwin,2024,36532,0.2,9.4,53.9,36.6,100.1,"16,425",2.27
Baldwin,2024,36535,3.3,18.5,43.5,34.8,100.1,"18,395",2.099
Baldwin,2024,36542,1.4,19.9,43.3,35.4,100,"9,080",2.127
Baldwin,2024,36547,,,,,,0,
Baldwin,2024,36549,0.9,21.3,38.3,39.5,100,"1,971",2.164
Baldwin,2024,36550,0,42,33.3,24.7,100,150,1.827
Baldwin,2024,36551,1.5,10.9,45.1,42.6,100.1,"5,685",2.289
Baldwin,2024,36555,1.7,5.7,45.6,46.9,99.9,524,2.376
Baldwin,2024,36559,0,0,0,100,100,81,3
Baldwin,2024,36561,3.3,16.3,48.7,31.7,100,"4,981",2.088
Baldwin,2024,36562,0,18.5,27.3,54.2,100,589,2.357
Baldwin,2024,36564,,,,,,0,
Baldwin,2024,36567,3.2,13.8,34.4,48.6,100,"7,063",2.284
Baldwin,2024,36574,0,27.2,59,13.8,100,646,1.866
Baldwin,2024,36576,0.7,8.1,39.7,51.4,99.9,"2,292",2.417
Baldwin,2024,36578,0,2.1,66.2,31.7,100,470,2.296
Baldwin,2024,36579,0,14.8,26.4,58.7,99.9,761,2.437
Baldwin,2024,36580,1,11.6,35.6,51.8,100,"2,748",2.382
Mobile,2024,36505,0,3.1,11.2,85.7,100,385,2.603
Mobile,2024,36509,3.5,27.3,23.8,45.5,100.1,400,2.119
Mobile,2024,36512,,,,,,,
Mobile,2024,36513,0,0,0,100,100,153,3
Mobile,2024,36521,2,8.3,36.7,53,100,"2,553",2.406
Mobile,2024,36522,0,16.5,38.5,45.1,100.1,"2,702",2.286
Mobile,2024,36523,1.6,18,42.5,38,100.1,"1,069",2.184
Mobile,2024,36525,0,15.8,38.5,45.8,100.1,671,2.3
Mobile,2024,36528,2.3,17.4,34.8,45.5,100,649,2.233
Mobile,2024,36541,0.6,19,35.7,44.7,100,"6,078",2.251
Mobile,2024,36544,0.3,10.3,30.9,58.4,99.9,"4,696",2.481
Mobile,2024,36560,0.8,11.3,32.9,54.9,99.9,"1,061",2.427
Mobile,2024,36568,0,100,0,0,100,24,1
Mobile,2024,36571,0.4,15.9,35.9,47.8,100,"7,350",2.315
Mobile,2024,36572,0.2,9.2,38.3,52.4,100.1,"3,214",2.43
Mobile,2024,36575,2.2,10.9,36.1,50.8,100,"10,628",2.356
Mobile,2024,36582,2.5,18.7,44.2,34.5,99.9,"10,379",2.108
Mobile,2024,36587,1.2,9.4,31.9,57.5,100,"4,967",2.459
Mobile,2024,36602,2.3,50.3,40.4,7,100,517,1.52
Mobile,2024,36603,26.2,39.6,18.2,16.1,100.1,"1,755",1.062
Mobile,2024,36604,4.4,24.8,55.5,15.2,99.9,"4,416",1.822
Mobile,2024,36605,3.3,22,40.5,34.2,100,"9,150",2.058
Mobile,2024,36606,2.5,36.3,42.7,18.5,100,"9,350",1.771
Mobile,2024,36607,1.6,22.3,53.1,23,100,"2,160",1.974
Mobile,2024,36608,3,24.1,41.8,31.2,100.1,"18,189",2.012
Mobile,2024,36609,0.3,34.9,39,25.7,99.9,"11,990",1.906
Mobile,2024,36610,4.2,39.5,27.1,29.2,100,"3,176",1.81
Mobile,2024,36611,1.7,21.6,45,31.7,100,"2,489",2.067
Mobile,2024,36612,9.8,30,36.1,24.1,100,"1,013",1.785
Mobile,2024,36613,0.7,15.4,47.7,36.3,100.1,"4,129",2.198
Mobile,2024,36615,,,,,,,
Mobile,2024,36617,1.7,30.1,32.9,35.4,100.1,"3,969",2.039
Mobile,2024,36618,0.9,19.9,37.8,41.5,100.1,"7,929",2.214
Mobile,2024,36619,2,17.5,37.6,42.9,100,"5,768",2.214
Mobile,2024,36652,,,,,,,
Mobile,2024,36663,,,,,,,
Mobile,2024,36688,0,0,100,0,100,26,2
Mobile,2024,36693,1.1,16.4,46,36.4,99.9,"8,866",2.176
Mobile,2024,36695,0.7,14.4,47.2,37.8,100.1,"24,488",2.224
